UF;Municipio;Bairro;Produto;DatadaColeta;ValordeVenda
PR;PATO BRANCO;CENTRO;ETANOL;2022-02-06;5.59
PR;PATO BRANCO;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.08
PR;PATO BRANCO;CENTRO;GASOLINA;2022-02-06;6.97
RS;PORTO ALEGRE;CAVALHADA;GASOLINA ADITIVADA;2022-01-06;6.99
RS;PORTO ALEGRE;CAVALHADA;GASOLINA;2022-01-06;6.79
AC;CRUZEIRO DO SUL;CENTRO;GASOLINA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;25 DE AGOSTO;GASOLINA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;COPACABANA;GASOLINA ADITIVADA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;COPACABANA;ETANOL;2022-01-06;6.65
AC;CRUZEIRO DO SUL;COPACABANA;GASOLINA;2022-01-06;7.97
AC;CRUZEIRO DO SUL;JOÃO ALVES;GASOLINA;2022-01-06;7.97
AC;RIO BRANCO;CALAFATE;GASOLINA ADITIVADA;2022-01-06;7.69
AC;RIO BRANCO;CALAFATE;ETANOL;2022-01-06;6.14
AC;RIO BRANCO;CALAFATE;GASOLINA;2022-01-06;7.59
AC;RIO BRANCO;ESTACAO EXPERIMENTAL;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;ESTACAO EXPERIMENTAL;ETANOL;2022-01-06;6.17
AC;RIO BRANCO;ESTACAO EXPERIMENTAL;GASOLINA;2022-01-06;7.54
AC;RIO BRANCO;AVIARIO;GASOLINA;2022-02-06;7.54
AC;RIO BRANCO;AVIARIO;GASOLINA ADITIVADA;2022-02-06;7.62
AC;RIO BRANCO;CENTRO;GASOLINA ADITIVADA;2022-01-06;7.65
AC;RIO BRANCO;CENTRO;GASOLINA;2022-01-06;7.55
AC;RIO BRANCO;FLORESTA;GASOLINA ADITIVADA;2022-01-06;7.67
AC;RIO BRANCO;FLORESTA;ETANOL;2022-01-06;6.09
AC;RIO BRANCO;FLORESTA;GASOLINA;2022-01-06;7.57
AC;RIO BRANCO;VILA IVONETE;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;VILA IVONETE;ETANOL;2022-01-06;6.17
AC;RIO BRANCO;VILA IVONETE;GASOLINA;2022-01-06;7.54
AC;RIO BRANCO;7 BEC;ETANOL;2022-01-06;6.09
AC;RIO BRANCO;7 BEC;GASOLINA;2022-01-06;7.49
AC;RIO BRANCO;BOSQUE;GASOLINA;2022-02-06;7.49
AC;RIO BRANCO;BOSQUE;ETANOL;2022-02-06;6.1
AC;RIO BRANCO;BOSQUE;GASOLINA ADITIVADA;2022-02-06;7.54
AC;RIO BRANCO;BAIXA DA COLINA;GASOLINA;2022-02-06;7.59
AC;RIO BRANCO;BAIXA DA COLINA;ETANOL;2022-02-06;6.14
AC;RIO BRANCO;BAIXA DA COLINA;GASOLINA ADITIVADA;2022-02-06;7.79
AC;RIO BRANCO;DISTRITO INDUSTRIAL;GASOLINA ADITIVADA;2022-01-06;7.69
AC;RIO BRANCO;DISTRITO INDUSTRIAL;ETANOL;2022-01-06;6.09
AC;RIO BRANCO;DISTRITO INDUSTRIAL;GASOLINA;2022-01-06;7.59
AC;RIO BRANCO;CONQUISTA;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;CONQUISTA;GASOLINA;2022-01-06;7.49
AC;RIO BRANCO;VILA DNER;GASOLINA;2022-02-06;7.39
AC;RIO BRANCO;ISAURA PARENTE;GASOLINA ADITIVADA;2022-01-06;7.54
AC;RIO BRANCO;ISAURA PARENTE;GASOLINA;2022-01-06;7.49
AC;RIO BRANCO;CENTRO;GASOLINA;2022-02-06;7.54
AC;RIO BRANCO;CENTRO;ETANOL;2022-02-06;6.17
AC;RIO BRANCO;CENTRO;GASOLINA ADITIVADA;2022-02-06;7.64
AC;RIO BRANCO;BOSQUE;GASOLINA;2022-02-06;7.56
AC;RIO BRANCO;FLORESTA;GASOLINA ADITIVADA;2022-01-06;7.59
AC;RIO BRANCO;FLORESTA;ETANOL;2022-01-06;6.14
AC;RIO BRANCO;FLORESTA;GASOLINA;2022-01-06;7.59
AC;RIO BRANCO;SEIS DE AGOSTO;GASOLINA;2022-02-06;7.39
AC;RIO BRANCO;SEIS DE AGOSTO;ETANOL;2022-02-06;6.09
AL;PALMEIRA DOS INDIOS;JOSÉ MAIA COSTA;ETANOL;2022-02-06;5.88
AL;PALMEIRA DOS INDIOS;JOSÉ MAIA COSTA;GASOLINA ADITIVADA;2022-02-06;7.4
AL;PALMEIRA DOS INDIOS;JOSÉ MAIA COSTA;GASOLINA;2022-02-06;7.3
AL;PALMEIRA DOS INDIOS;VILA MARIA;ETANOL;2022-02-06;5.9
AL;PALMEIRA DOS INDIOS;VILA MARIA;GASOLINA ADITIVADA;2022-02-06;7.34
AL;PALMEIRA DOS INDIOS;VILA MARIA;GASOLINA;2022-02-06;7.29
AL;PALMEIRA DOS INDIOS;PALMEIRA DE FORA;GASOLINA;2022-02-06;7.19
AL;PALMEIRA DOS INDIOS;PALMEIRA DE FORA;ETANOL;2022-02-06;5.99
AL;PALMEIRA DOS INDIOS;SÃO CRISTÓVÃO;ETANOL;2022-02-06;5.99
AL;PALMEIRA DOS INDIOS;SÃO CRISTÓVÃO;GASOLINA;2022-02-06;7.29
AL;PALMEIRA DOS INDIOS;SAO CRISTOVAO;ETANOL;2022-02-06;6.15
AL;PALMEIRA DOS INDIOS;SAO CRISTOVAO;GASOLINA ADITIVADA;2022-02-06;7.45
AL;PALMEIRA DOS INDIOS;SAO CRISTOVAO;GASOLINA;2022-02-06;7.35
BA;ALAGOINHAS;CENTRO;GASOLINA ADITIVADA;2022-01-06;7.33
BA;ALAGOINHAS;CENTRO;ETANOL;2022-01-06;5.6
BA;ALAGOINHAS;CENTRO;GASOLINA;2022-01-06;7.33
BA;ALAGOINHAS;ZONA RURAL;GASOLINA ADITIVADA;2022-01-06;7.39
BA;ALAGOINHAS;ZONA RURAL;ETANOL;2022-01-06;5.69
