City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Rio de Janeiro,UberX,COMPLETED,2023-09-17 19:25:25 +0000 UTC,2023-09-17 19:32:29 +0000 UTC,-22.903437,-43.099644,"Avenida Sete de Setembro, 314 - Niterói - RJ, 24220-301",2023-09-17 19:39:07 +0000 UTC,-22.894308,-43.120766,"Rua da Conceição, 101 - Niterói - Niterói - RJ, 24020-085",2.16,12.95,BRL
Rio de Janeiro,UberX,COMPLETED,2023-09-08 21:28:22 +0000 UTC,2023-09-08 21:30:17 +0000 UTC,-22.903395,-43.09948,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-09-08 21:47:57 +0000 UTC,-22.89203,-43.123604,"Av. Visconde do Rio Branco, 360 - Centro - Niterói - RJ, 24020-002",2.19,12.92,BRL
Rio de Janeiro,UberX,COMPLETED,2023-09-08 16:22:30 +0000 UTC,2023-09-08 16:30:06 +0000 UTC,-22.903347,-43.099514,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-09-08 16:38:56 +0000 UTC,-22.908081,-43.109463,"R. Cel Moreira César, 282 - Icaraí - Niterói - RJ, 24230-063",1.26,9.91,BRL
Rio de Janeiro,UberX,COMPLETED,2023-09-02 19:26:18 +0000 UTC,2023-09-02 19:32:49 +0000 UTC,-22.892086,-43.123833,"R. Visconde do Rio Branco Loja 325, 360 - Centro - Niterói - RJ, 24020-002",2023-09-02 19:55:34 +0000 UTC,-22.903395,-43.09943,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",3.69,19.91,BRL
Rio de Janeiro,UberX,COMPLETED,2023-09-02 16:24:52 +0000 UTC,2023-09-02 16:26:10 +0000 UTC,-22.90335,-43.099453,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-09-02 16:38:13 +0000 UTC,-22.892044,-43.12365,"Av. Visconde do Rio Branco, 360 - Centro - Niterói - RJ, 24020-002",2.14,12.96,BRL
Rio de Janeiro,UberX,COMPLETED,2023-08-16 19:54:38 +0000 UTC,2023-08-16 19:58:14 +0000 UTC,-22.828573,-43.07154,"R. Joaquim de Almeida - Mangueira, São Gonçalo - RJ, 24435-470, Brasil",2023-08-16 20:32:51 +0000 UTC,-22.903385,-43.099422,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",8.78,26.9,BRL
Rio de Janeiro,UberX,COMPLETED,2023-08-15 03:27:12 +0000 UTC,2023-08-15 03:30:55 +0000 UTC,-22.903755,-43.09989,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-08-15 03:36:34 +0000 UTC,-22.894346,-43.120712,"Rua da Conceição, 101 - Niterói - Niterói - RJ, 24020-085",2.15,11.91,BRL
Rio de Janeiro,UberX,COMPLETED,2023-08-10 15:04:50 +0000 UTC,2023-08-10 15:06:12 +0000 UTC,-22.908049,-43.10921,"R. Moreira César, 282 - Icaraí - Niterói - RJ, 24230-063",2023-08-10 15:15:57 +0000 UTC,-22.903378,-43.099514,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",1.05,9.93,BRL
Rio de Janeiro,UberX,COMPLETED,2023-08-09 00:30:33 +0000 UTC,2023-08-09 00:46:26 +0000 UTC,-22.910883,-43.226894,"Avenida Presidente Castelo Branco, 252 - Maracanã - Rio de Janeiro - RJ, 20271-260",2023-08-09 01:26:20 +0000 UTC,-22.903185,-43.099293,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",13.22,54.9,BRL
Rio de Janeiro,Black,COMPLETED,2023-08-08 20:39:45 +0000 UTC,2023-08-08 20:52:19 +0000 UTC,-22.903255,-43.099377,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-08-08 22:01:23 +0000 UTC,-22.911606,-43.23401,"Maracanã, Rio de Janeiro - RJ, Brasil",13.36,72.6,BRL
Rio de Janeiro,UberX,CANCELED,2023-08-08 20:37:05 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Rio de Janeiro,UberX,CANCELED,2023-08-08 20:34:14 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Rio de Janeiro,Comfort,CANCELED,2023-08-08 20:30:46 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Rio de Janeiro,UberX,CANCELED,2023-08-08 20:25:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Rio de Janeiro,UberX,COMPLETED,2023-07-14 16:07:26 +0000 UTC,2023-07-14 16:09:56 +0000 UTC,-22.88918,-43.12262,"Rua Visconde Uruguai, 324 - Centro - Niterói - RJ, 24030-079",2023-07-14 16:29:38 +0000 UTC,-22.903399,-43.09955,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.71,14.97,BRL
Rio de Janeiro,UberX,COMPLETED,2023-07-08 23:23:48 +0000 UTC,2023-07-08 23:29:30 +0000 UTC,-22.896135,-43.123806,"R. Visc Rio Branco, 521/523 - Centro - Niterói - RJ, 24020-125",2023-07-08 23:42:10 +0000 UTC,-22.903378,-43.099586,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.51,29.92,BRL
Rio de Janeiro,UberX,COMPLETED,2023-07-08 20:48:35 +0000 UTC,2023-07-08 20:50:23 +0000 UTC,-22.903366,-43.099472,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-07-08 21:09:19 +0000 UTC,-22.896397,-43.124283,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.21,13.99,BRL
Rio de Janeiro,UberX,COMPLETED,2023-06-14 23:56:02 +0000 UTC,2023-06-15 00:04:05 +0000 UTC,-22.896078,-43.12373,"R. Visc Rio Branco, 521/523 - Centro - Niterói - RJ, 24020-125",2023-06-15 00:20:16 +0000 UTC,-22.903357,-43.099407,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.98,13.95,BRL
Rio de Janeiro,UberX,COMPLETED,2023-06-14 22:13:23 +0000 UTC,2023-06-14 22:15:27 +0000 UTC,-22.903646,-43.09986,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-06-14 22:37:25 +0000 UTC,-22.896023,-43.122597,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.23,13.96,BRL
Rio de Janeiro,UberX,COMPLETED,2023-06-04 19:31:31 +0000 UTC,2023-06-04 19:33:44 +0000 UTC,-22.90337,-43.09951,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-06-04 19:47:53 +0000 UTC,-22.89603,-43.12425,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.23,13.91,BRL
Rio de Janeiro,UberX,COMPLETED,2023-06-04 14:09:48 +0000 UTC,2023-06-04 14:13:32 +0000 UTC,-22.90525,-43.11032,"R. Lopes Trovão, 109 - Icaraí - Niterói - RJ, 24220-070",2023-06-04 14:22:07 +0000 UTC,-22.903347,-43.099407,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",1.13,8.98,BRL
Rio de Janeiro,UberX,COMPLETED,2023-06-03 13:13:54 +0000 UTC,2023-06-03 13:17:23 +0000 UTC,-22.894281,-43.120594,"Rua da Conceição, 101 - Niterói - Niterói - RJ, 24020-085",2023-06-03 13:30:46 +0000 UTC,-22.903399,-43.099483,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.17,14.08,BRL
Rio de Janeiro,VIP,COMPLETED,2023-05-10 10:09:43 +0000 UTC,2023-05-10 10:21:38 +0000 UTC,-22.814287,-43.246708,Terminal de Passageiros,2023-05-10 11:25:30 +0000 UTC,-22.9034,-43.09947,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",17.13,84.97,BRL
Sao Luis,Flash Moto,DRIVER_CANCELED,2023-05-06 00:23:27 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-2.53635,-44.22434,"Av. Jerônimo de Albuquerque Maranhão, 333 - Bairro Cohab - São Luís - MA, 65051-210",1970-01-01 00:00:00 +0000 UTC,-2.53482,-44.23243,"Avenida Principal, 27 - Angelim - São Luís - MA, 65051-843",0.00,1.6,BRL
Rio de Janeiro,UberX,COMPLETED,2023-05-03 00:16:23 +0000 UTC,2023-05-03 00:30:26 +0000 UTC,-22.903385,-43.09961,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-05-03 00:59:38 +0000 UTC,-22.814484,-43.24677,"Piso 2 Terminal 2, Aeroporto Internacional Tom Jobim (GIG) - Rio de Janeiro - RJ, 21941-900",16.37,49.9,BRL
Rio de Janeiro,UberX,CANCELED,2023-05-03 00:12:39 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-22.90321,-43.09715,"R. Dr. Mário Viana, 296 - Santa Rosa - Niterói - RJ, 24241-002",1970-01-01 00:00:00 +0000 UTC,-22.90266,-43.09858,"Avenida Sete de Setembro, 348 - Niterói - RJ, 24230-253",0.00,0,BRL
Rio de Janeiro,Flash,COMPLETED,2023-04-05 17:51:01 +0000 UTC,2023-04-05 18:01:25 +0000 UTC,-22.88022,-43.09679,"Rua Antônio Silva, 68 - Fonseca - Niterói - RJ, 24130-175",2023-04-05 18:22:42 +0000 UTC,-22.903343,-43.099503,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.40,12.94,BRL
Rio de Janeiro,UberX,COMPLETED,2023-04-04 15:15:08 +0000 UTC,2023-04-04 15:19:49 +0000 UTC,-22.903402,-43.09959,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-04-04 15:30:57 +0000 UTC,-22.895369,-43.11038,"R. Desembargador Athayde Parreiras, 266 - Bairro de Fátima - Niterói - RJ, 24070-090",1.40,9.9,BRL
Rio de Janeiro,Flash,COMPLETED,2023-04-04 00:22:30 +0000 UTC,2023-04-04 00:26:53 +0000 UTC,-22.903358,-43.099464,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-04-04 00:32:38 +0000 UTC,-22.89545,-43.110397,"R. Desembargador Athayde Parreiras, 266 - Bairro de Fátima - Niterói - RJ, 24070-090",1.48,8.42,BRL
Rio de Janeiro,UberX,COMPLETED,2023-03-27 15:14:56 +0000 UTC,2023-03-27 15:15:33 +0000 UTC,-22.903387,-43.09951,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-03-27 16:13:40 +0000 UTC,-22.878233,-43.359615,"Estrada Intendente Magalhães, 729 - Bento Ribeiro - Rio de Janeiro - RJ, 21331-018",22.38,49.91,BRL
Rio de Janeiro,UberX,COMPLETED,2023-03-25 16:02:53 +0000 UTC,2023-03-25 16:04:59 +0000 UTC,-22.878263,-43.35954,"Estrada Intendente Magalhães, 729 - Bento Ribeiro - Rio de Janeiro - RJ, 21331-018",2023-03-25 17:17:25 +0000 UTC,-22.903397,-43.099514,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",20.81,54.9,BRL
Rio de Janeiro,UberX,COMPLETED,2023-03-25 13:15:38 +0000 UTC,2023-03-25 13:17:27 +0000 UTC,-22.903767,-43.106133,"Av. Roberto Silveira, 283 - Icaraí - Niterói - RJ, 24230-151",2023-03-25 14:03:10 +0000 UTC,-22.878197,-43.359684,"Estrada Intendente Magalhães, 729 - Vila Valqueire, Rio de Janeiro - RJ, 21331-596, Brasil",21.84,49.99,BRL
Rio de Janeiro,UberX,COMPLETED,2023-03-25 12:53:48 +0000 UTC,2023-03-25 13:00:05 +0000 UTC,-22.903305,-43.09935,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-03-25 13:08:02 +0000 UTC,-22.905249,-43.106842,"Al. Edmundo de Macedo Soares e Silva, 1 - Icaraí - Niterói - RJ, 24220",1.09,9.92,BRL
Rio de Janeiro,UberX,COMPLETED,2023-02-25 00:24:12 +0000 UTC,2023-02-25 00:26:56 +0000 UTC,-22.896162,-43.123745,Plaza Niterói,2023-02-25 00:37:59 +0000 UTC,-22.90339,-43.099384,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.49,12.91,BRL
Rio de Janeiro,UberX,COMPLETED,2023-02-24 22:58:14 +0000 UTC,2023-02-24 23:01:43 +0000 UTC,-22.903482,-43.099487,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-02-24 23:16:41 +0000 UTC,-22.896107,-43.123657,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.60,13.93,BRL
Rio de Janeiro,Comfort,COMPLETED,2023-02-19 22:45:10 +0000 UTC,2023-02-19 22:51:38 +0000 UTC,-22.913872,-43.097466,"Estr. Leopoldo Fróes, 700 - São Francisco - Niterói - RJ, 24360-005",2023-02-19 22:55:56 +0000 UTC,-22.9046,-43.102085,"R. Nóbrega, 264 - Icaraí, Niterói - RJ, 24220-320, Brasil",1.06,11.21,BRL
Rio de Janeiro,Comfort,COMPLETED,2023-02-19 20:59:00 +0000 UTC,2023-02-19 21:05:09 +0000 UTC,-22.903416,-43.09944,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-251",2023-02-19 21:09:41 +0000 UTC,-22.913944,-43.097496,"Estr. Leopoldo Fróes, 700 - São Francisco - Niterói - RJ, 24360-005",1.05,11.21,BRL
Rio de Janeiro,UberX,COMPLETED,2023-02-11 20:26:51 +0000 UTC,2023-02-11 20:34:14 +0000 UTC,-22.879986,-43.100334,"Rua Doutor Rubens Brasil, 76 - Fonseca - Niterói - RJ, 24130-070",2023-02-11 20:52:05 +0000 UTC,-22.903414,-43.099506,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",3.60,17.95,BRL
Rio de Janeiro,Comfort,COMPLETED,2023-02-11 17:32:41 +0000 UTC,2023-02-11 17:34:50 +0000 UTC,-22.89603,-43.123764,"R. Visc Rio Branco, 521/523 - Centro - Niterói - RJ, 24020-125",2023-02-11 17:50:36 +0000 UTC,-22.880161,-43.100384,"Rua Doutor Rubens Brasil, 76 - Fonseca - Niterói - RJ, 24130-070",2.98,18.61,BRL
Rio de Janeiro,Comfort,COMPLETED,2023-02-11 16:40:54 +0000 UTC,2023-02-11 16:50:25 +0000 UTC,-22.903376,-43.099648,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-02-11 17:02:19 +0000 UTC,-22.896027,-43.123825,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.30,16.64,BRL
Rio de Janeiro,UberX,CANCELED,2023-02-11 16:37:38 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,BRL
Rio de Janeiro,Comfort,COMPLETED,2023-02-04 17:38:00 +0000 UTC,2023-02-04 17:44:06 +0000 UTC,-22.889378,-43.124138,"Rua Visc do Rio Branco, 225 - Centro - Niterói - RJ, 24030",2023-02-04 18:02:24 +0000 UTC,-22.903376,-43.09947,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",3.03,25.18,BRL
Rio de Janeiro,UberX,COMPLETED,2023-02-04 15:08:58 +0000 UTC,2023-02-04 15:17:22 +0000 UTC,-22.90336,-43.09943,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-02-04 15:31:17 +0000 UTC,-22.889244,-43.12414,"Av. Vde do Rio Branco, 233 - Centro - Niterói - RJ, 24020-001",2.52,17.9,BRL
Rio de Janeiro,UberX,COMPLETED,2023-01-25 18:51:28 +0000 UTC,2023-01-25 18:56:04 +0000 UTC,-22.89411,-43.122044,"Rua da Conceição, 72 - Niterói - RJ",2023-01-25 19:15:01 +0000 UTC,-22.903429,-43.099487,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.26,13.96,BRL
Rio de Janeiro,UberX,COMPLETED,2023-01-25 15:27:19 +0000 UTC,2023-01-25 15:28:32 +0000 UTC,-22.902527,-43.09872,"Avenida 7 de Setembro, 333 - Niterói - Niterói - RJ, 24230-251",2023-01-25 15:41:15 +0000 UTC,-22.890827,-43.123753,"Av. Visconde do Rio Branco, 287 - Centro - Niterói - RJ, 24020-002",2.37,12.93,BRL
Rio de Janeiro,UberX,COMPLETED,2023-01-23 23:29:39 +0000 UTC,2023-01-23 23:35:03 +0000 UTC,-22.896143,-43.12378,"R. Visc Rio Branco, 521/523 - Centro - Niterói - RJ, 24020-125",2023-01-23 23:49:44 +0000 UTC,-22.903429,-43.09945,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.64,12.92,BRL
Rio de Janeiro,UberX,COMPLETED,2023-01-23 22:17:29 +0000 UTC,2023-01-23 22:18:57 +0000 UTC,-22.903408,-43.099537,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-01-23 22:34:20 +0000 UTC,-22.896317,-43.124386,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.48,13.98,BRL
Rio de Janeiro,UberX,COMPLETED,2023-01-18 16:47:11 +0000 UTC,2023-01-18 16:55:59 +0000 UTC,-22.90341,-43.099564,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2023-01-18 17:05:45 +0000 UTC,-22.895458,-43.110462,"R. Des. Athayde Parreiras, 266 - Fátima, Niterói - RJ, 24070-090, Brasil",1.51,9.96,BRL
Rio de Janeiro,UberX,COMPLETED,2022-12-24 15:28:03 +0000 UTC,2022-12-24 15:33:24 +0000 UTC,-22.891977,-43.123863,"R. Visconde do Rio Branco Loja 325, 360 - Centro - Niterói - RJ, 24020-002",2022-12-24 15:51:01 +0000 UTC,-22.903324,-43.099445,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",3.21,11.86,BRL
Rio de Janeiro,UberX,COMPLETED,2022-12-24 13:32:05 +0000 UTC,2022-12-24 13:34:41 +0000 UTC,-22.903465,-43.099617,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-12-24 13:52:19 +0000 UTC,-22.896324,-43.124405,"R. Quinze de Novembro, 8 - Centro - Niterói - RJ, 24020-125",2.25,11.25,BRL
Rio de Janeiro,UberX,COMPLETED,2022-12-16 00:20:08 +0000 UTC,2022-12-16 00:24:32 +0000 UTC,-22.896177,-43.123802,"R. Visc Rio Branco, 521/523 - Centro - Niterói - RJ, 24020-125",2022-12-16 00:41:47 +0000 UTC,-22.903362,-43.099457,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2.50,24.95,BRL
Rio de Janeiro,UberX,COMPLETED,2022-12-15 22:09:35 +0000 UTC,2022-12-15 22:14:48 +0000 UTC,-22.903416,-43.099434,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",2022-12-15 22:34:24 +0000 UTC,-22.89744,-43.124287,"R. Quinze de Novembro, 8 - Centro - Niterói - PR, 24020-125",2.66,17.13,BRL
Rio de Janeiro,UberX,COMPLETED,2022-12-11 18:06:05 +0000 UTC,2022-12-11 18:07:21 +0000 UTC,-22.892315,-43.123867,"R. Visconde do Rio Branco Loja 325, 360 - Centro - Niterói - RJ, 24020-002",2022-12-11 18:19:52 +0000 UTC,-22.903408,-43.09939,"Avenida 7 de Setembro, 314 - Niterói - Niterói - RJ, 24230-253",3.19,13.97,BRL
