City;Product Type;Trip or Order Status;Request Time;Begin Trip Time;Begin Trip Lat;Begin Trip Lng;Begin Trip Address;Dropoff Time;Dropoff Lat;Dropoff Lng;Dropoff Address;Distance (miles);Fare Amount;Fare Currency
Rio de Janeiro;UberX;COMPLETED;2023-09-17 19:25:25 +0000 UTC;2023-09-17 19:32:29 +0000 UTC;0;0;Origem;2023-09-17 19:39:07 +0000 UTC;0;0;Destino;2.16;12.95;BRL
Rio de Janeiro;UberX;COMPLETED;2023-09-08 21:28:22 +0000 UTC;2023-09-08 21:30:17 +0000 UTC;0;0;Origem;2023-09-08 21:47:57 +0000 UTC;0;0;Destino;2.19;12.92;BRL
Rio de Janeiro;UberX;COMPLETED;2023-09-08 16:22:30 +0000 UTC;2023-09-08 16:30:06 +0000 UTC;0;0;Origem;2023-09-08 16:38:56 +0000 UTC;0;0;Destino;1.26;9.91;BRL
Rio de Janeiro;UberX;COMPLETED;2023-09-02 19:26:18 +0000 UTC;2023-09-02 19:32:49 +0000 UTC;0;0;Origem;2023-09-02 19:55:34 +0000 UTC;0;0;Destino;3.69;19.91;BRL
Rio de Janeiro;UberX;COMPLETED;2023-09-02 16:24:52 +0000 UTC;2023-09-02 16:26:10 +0000 UTC;0;0;Origem;2023-09-02 16:38:13 +0000 UTC;0;0;Destino;2.14;12.96;BRL
Rio de Janeiro;UberX;COMPLETED;2023-08-16 19:54:38 +0000 UTC;2023-08-16 19:58:14 +0000 UTC;0;0;Origem;2023-08-16 20:32:51 +0000 UTC;0;0;Destino;8.78;26.9;BRL
Rio de Janeiro;UberX;COMPLETED;2023-08-15 03:27:12 +0000 UTC;2023-08-15 03:30:55 +0000 UTC;0;0;Origem;2023-08-15 03:36:34 +0000 UTC;0;0;Destino;2.15;11.91;BRL
Rio de Janeiro;UberX;COMPLETED;2023-08-10 15:04:50 +0000 UTC;2023-08-10 15:06:12 +0000 UTC;0;0;Origem;2023-08-10 15:15:57 +0000 UTC;0;0;Destino;1.05;9.93;BRL
Rio de Janeiro;UberX;COMPLETED;2023-08-09 00:30:33 +0000 UTC;2023-08-09 00:46:26 +0000 UTC;0;0;Origem;2023-08-09 01:26:20 +0000 UTC;0;0;Destino;13.22;54.9;BRL
Rio de Janeiro;Black;COMPLETED;2023-08-08 20:39:45 +0000 UTC;2023-08-08 20:52:19 +0000 UTC;0;0;Origem;2023-08-08 22:01:23 +0000 UTC;0;0;Destino;13.36;72.6;BRL
Rio de Janeiro;UberX;CANCELED;2023-08-08 20:37:05 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;0.0;BRL
Rio de Janeiro;UberX;CANCELED;2023-08-08 20:34:14 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;0.0;BRL
Rio de Janeiro;Comfort;CANCELED;2023-08-08 20:30:46 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;0.0;BRL
Rio de Janeiro;UberX;CANCELED;2023-08-08 20:25:58 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;0.0;BRL
Rio de Janeiro;UberX;COMPLETED;2023-07-14 16:07:26 +0000 UTC;2023-07-14 16:09:56 +0000 UTC;0;0;Origem;2023-07-14 16:29:38 +0000 UTC;0;0;Destino;2.71;14.97;BRL
Rio de Janeiro;UberX;COMPLETED;2023-07-08 23:23:48 +0000 UTC;2023-07-08 23:29:30 +0000 UTC;0;0;Origem;2023-07-08 23:42:10 +0000 UTC;0;0;Destino;2.51;29.92;BRL
Rio de Janeiro;UberX;COMPLETED;2023-07-08 20:48:35 +0000 UTC;2023-07-08 20:50:23 +0000 UTC;0;0;Origem;2023-07-08 21:09:19 +0000 UTC;0;0;Destino;2.21;13.99;BRL
Rio de Janeiro;UberX;COMPLETED;2023-06-14 23:56:02 +0000 UTC;2023-06-15 00:04:05 +0000 UTC;0;0;Origem;2023-06-15 00:20:16 +0000 UTC;0;0;Destino;2.98;13.95;BRL
Rio de Janeiro;UberX;COMPLETED;2023-06-14 22:13:23 +0000 UTC;2023-06-14 22:15:27 +0000 UTC;0;0;Origem;2023-06-14 22:37:25 +0000 UTC;0;0;Destino;2.23;13.96;BRL
Rio de Janeiro;UberX;COMPLETED;2023-06-04 19:31:31 +0000 UTC;2023-06-04 19:33:44 +0000 UTC;0;0;Origem;2023-06-04 19:47:53 +0000 UTC;0;0;Destino;2.23;13.91;BRL
Rio de Janeiro;UberX;COMPLETED;2023-06-04 14:09:48 +0000 UTC;2023-06-04 14:13:32 +0000 UTC;0;0;Origem;2023-06-04 14:22:07 +0000 UTC;0;0;Destino;1.13;8.98;BRL
Rio de Janeiro;UberX;COMPLETED;2023-06-03 13:13:54 +0000 UTC;2023-06-03 13:17:23 +0000 UTC;0;0;Origem;2023-06-03 13:30:46 +0000 UTC;0;0;Destino;2.17;14.08;BRL
Rio de Janeiro;VIP;COMPLETED;2023-05-10 10:09:43 +0000 UTC;2023-05-10 10:21:38 +0000 UTC;0;0;Origem;2023-05-10 11:25:30 +0000 UTC;0;0;Destino;17.13;84.97;BRL
Sao Luis;Flash Moto;DRIVER_CANCELED;2023-05-06 00:23:27 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;1.6;BRL
Rio de Janeiro;UberX;COMPLETED;2023-05-03 00:16:23 +0000 UTC;2023-05-03 00:30:26 +0000 UTC;0;0;Origem;2023-05-03 00:59:38 +0000 UTC;0;0;Destino;16.37;49.9;BRL
Rio de Janeiro;UberX;CANCELED;2023-05-03 00:12:39 +0000 UTC;1970-01-01 00:00:00 +0000 UTC;0;0;Origem;1970-01-01 00:00:00 +0000 UTC;0;0;Destino;0.0;0.0;BRL
Rio de Janeiro;Flash;COMPLETED;2023-04-05 17:51:01 +0000 UTC;2023-04-05 18:01:25 +0000 UTC;0;0;Origem;2023-04-05 18:22:42 +0000 UTC;0;0;Destino;2.4;12.94;BRL
Rio de Janeiro;UberX;COMPLETED;2023-04-04 15:15:08 +0000 UTC;2023-04-04 15:19:49 +0000 UTC;0;0;Origem;2023-04-04 15:30:57 +0000 UTC;0;0;Destino;1.4;9.9;BRL
Rio de Janeiro;Flash;COMPLETED;2023-04-04 00:22:30 +0000 UTC;2023-04-04 00:26:53 +0000 UTC;0;0;Origem;2023-04-04 00:32:38 +0000 UTC;0;0;Destino;1.48;8.42;BRL
Rio de Janeiro;UberX;COMPLETED;2023-03-27 15:14:56 +0000 UTC;2023-03-27 15:15:33 +0000 UTC;0;0;Origem;2023-03-27 16:13:40 +0000 UTC;0;0;Destino;22.38;49.91;BRL
Rio de Janeiro;UberX;COMPLETED;2023-03-25 16:02:53 +0000 UTC;2023-03-25 16:04:59 +0000 UTC;0;0;Origem;2023-03-25 17:17:25 +0000 UTC;0;0;Destino;20.81;54.9;BRL
